messageKey,,en,de,es,fr,pt,ru,zh_CN
loadout.stat.group.name.capacity,Capacity,Capacity,Kapazität,Capacidad,Capacité,Capacidade,Вместимость,Capacity
loadout.stat.group.name.damage,Damage,Damage,Schaden,Daño,Dégâts,Dano,Стрельба,Damage
loadout.stat.group.name.general,General,General,Allgemein,General,Général,Geral,Основные,General
loadout.stat.group.name.movement,Movement,Movement,Bewegung,Movimiento,Déplacement,Movimento,Движение,Movement
loadout.stat.group.name.noise,Noise,Noise,Rauschen,Ruido,Bruit,Ruído,Шум,Noise
loadout.stat.group.name.other,Other,Other,Andere,Otro,Autre,Outro,Другое,Other
loadout.stat.group.name.power,Power,Power,Strom,Potencia,Puissance,Energia,Энергия,Power
loadout.stat.group.name.resistance,Resistance,Resistance,Widerstand,Resistencia,Résistance,Resistência,Сопротивления,Resistance
loadout.stat.group.name.shield,Shield,Shield,Schild,Escudo,Bouclier,Escudo,Щит,Shield
